denmark 10 16 5 21
portugal 10 17 5 19
sweden 10 13 5 18
hungary 10 10 8 16
albania 10 6 13 7
malta 10 0 26 1
cameroon 6 14 2 16
cape-verde 6 7 8 9
tanzania 6 9 6 8
mauritius 6 3 17 1
guinea 6 9 5 11
kenya 6 8 5 10
zimbabwe 6 4 6 6
namibia 6 7 12 6
benin 6 12 8 12
angola 6 11 8 10
uganda 6 8 9 10
niger 6 5 11 3
nigeria 6 11 1 18
south-africa 6 5 5 7
sierra-leone 6 4 8 7
equat-guinea 6 4 10 3
ghana 6 11 5 12
gabon 6 8 3 12
libya 6 7 4 12
lesotho 6 2 16 0
algeria 6 7 4 10
gambia 6 6 3 9
senegal 6 9 7 9
liberia 6 4 12 3
ivory-coast 6 10 2 12
mozambique 6 7 5 8
madagascar 6 2 7 6
botswana 6 3 8 5
morocco 4 11 5 9
rwanda 4 7 3 9
mauritania 4 2 12 0
burkina-faso 6 14 5 16
tunisia 6 11 3 13
burundi 6 5 9 6
seychelles 6 4 17 0
mali 6 13 8 12
sudan 6 9 9 9
chad 6 7 11 6
switzerland 10 18 8 21
greece 10 20 10 20
latvia 10 18 15 17
israel 10 20 10 16
luxembourg 10 4 25 5
moldova 10 6 18 3
zambia 4 2 1 7
togo 4 8 3 6
swaziland 4 2 8 4
australia 6 7 3 10
qatar 6 5 6 10
iraq 6 4 6 7
china 6 3 4 6
japan 6 12 3 13
bahrain 6 7 5 11
oman 6 5 7 8
thailand 6 5 14 1
south-korea 6 10 3 12
north-korea 6 4 0 12
jordan 6 6 6 7
turkmenistan 6 1 12 1
saudi-arabia 6 14 5 15
uzbekistan 6 15 7 15
singapore 6 7 13 6
lebanon 6 3 14 0
iran 6 7 2 12
ua-emirates 6 7 7 8
syria 6 7 8 8
kuwait 6 8 12 4
australia 8 12 1 20
japan 8 11 6 15
bahrain 8 6 8 10
qatar 8 5 14 6
uzbekistan 8 5 10 4
south-korea 8 12 4 16
north-korea 8 7 5 12
saudi-arabia 8 8 8 12
iran 8 8 7 11
ua-emirates 8 6 17 1
usa 6 14 3 15
trinidad/tob. 6 9 6 11
guatemala 6 6 7 5
cuba 6 5 18 3
honduras 6 9 5 12
mexico 6 9 6 10
jamaica 6 6 6 10
canada 6 6 13 2
costa-rica 6 20 3 18
el-salvador 6 11 4 10
haiti 6 4 13 3
surinam 6 4 19 2
usa 10 19 13 20
mexico 10 18 12 19
honduras 10 17 11 16
costa-rica 10 15 15 16
el-salvador 10 9 15 8
trinidad/t. 10 10 22 6
new-zealand 6 14 5 15
new-caledonia 6 12 10 8
fiji 6 8 11 7
vanuatu 6 5 13 4
cameroon 6 9 2 13
gabon 6 9 7 9
togo 6 3 7 8
morocco 6 3 8 3
slovakia 10 22 10 22
slovenia 10 18 4 20
n.-ireland 10 13 9 15
poland 10 19 14 11
san-marino 10 1 47 0
nigeria 6 9 4 12
tunisia 6 7 4 11
mozambique 6 3 5 7
kenya 6 5 11 3
algeria 6 9 4 13
ypt 6 9 4 13
zambia 6 2 5 5
rwanda 6 1 8 2
ghana 6 9 3 13
benin 6 6 6 10
mali 6 8 7 9
sudan 6 2 9 1
ivory-coast 6 19 4 16
burkina-faso 6 10 11 12
malawi 6 4 11 4
guinea 6 7 14 3
brazil 18 33 11 34
chile 18 32 22 33
paraguay 18 24 16 33
argentina 18 23 20 28
uruguay 18 28 20 24
ecuador 18 22 26 23
colombia 18 14 18 23
venezuela 18 23 29 22
bolivia 18 22 36 15
.peru 18 11 34 13
germany 10 26 5 26
russia 10 19 6 22
finland 10 14 14 18
wales 10 9 12 12
azerbaijan 10 4 14 5
liechtenstein 10 2 23 2
spain 10 28 5 30
turkey 10 13 10 15
belgium 10 13 20 10
estonia 10 9 24 8
armenia 10 6 22 4
england 10 34 6 27
ukraine 10 21 6 21
croatia 10 19 13 20
belarus 10 19 14 13
kazakhstan 10 11 29 6
andorra 10 3 39 0
serbia 10 22 8 22
france 10 18 9 21
austria 10 14 15 14
lithuania 10 10 11 12
romania 10 12 18 12
faroe-islands 10 5 20 4
italy 10 18 7 24
ireland 10 12 8 18
bulgaria 10 17 13 14
cyprus 10 14 16 9
montenegro 10 9 14 9
georgia 10 7 19 3
netherlands 8 17 2 24
norway 8 9 7 10
scotland 8 6 11 10
macedonia 8 5 11 7
iceland 8 7 13 5
